"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 04 09:13:53 IST 2024","Thu Jan 04 09:13:53 IST 2024","67","","Sales Activity Checking on Website ","","Sales Activity Checking on Website ","Placing the Order and Verifying in Sales Widget ","Placing the Order and Verifying in Sales Widget ",""
"passed","Sat Jan 06 21:57:48 IST 2024","Sat Jan 06 21:58:11 IST 2024","23394","","","","","Announcement bar Creation","Announcement bar Creation",""
